<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;20200514;000000;183.9100000
GAZP;D;20200515;000000;183.8500000
GAZP;D;20200518;000000;192.5000000
GAZP;D;20200519;000000;194.2000000
GAZP;D;20200520;000000;196.7400000
GAZP;D;20200521;000000;194.7400000
GAZP;D;20200522;000000;194.3500000
GAZP;D;20200525;000000;197.5500000
GAZP;D;20200526;000000;196.8600000
GAZP;D;20200527;000000;194.7300000
GAZP;D;20200528;000000;196.8600000
GAZP;D;20200529;000000;199.9500000
GAZP;D;20200601;000000;198.7200000
GAZP;D;20200602;000000;201.9700000
GAZP;D;20200603;000000;208.0000000
GAZP;D;20200604;000000;201.4600000
GAZP;D;20200605;000000;203.0500000
GAZP;D;20200608;000000;204.9100000
GAZP;D;20200609;000000;204.8400000
GAZP;D;20200610;000000;201.7500000
GAZP;D;20200611;000000;196.7400000
GAZP;D;20200615;000000;194.2000000
GAZP;D;20200616;000000;196.5900000
GAZP;D;20200617;000000;195.8600000
GAZP;D;20200618;000000;193.0000000
GAZP;D;20200619;000000;195.8100000
GAZP;D;20200622;000000;194.3000000
GAZP;D;20200623;000000;194.8300000
GAZP;D;20200625;000000;192.2500000
GAZP;D;20200626;000000;193.0000000
GAZP;D;20200629;000000;197.9400000
GAZP;D;20200630;000000;194.3100000
GAZP;D;20200702;000000;195.2800000
GAZP;D;20200703;000000;197.2000000
GAZP;D;20200706;000000;199.9900000
GAZP;D;20200707;000000;197.9600000
GAZP;D;20200708;000000;201.1700000
GAZP;D;20200709;000000;199.4400000
GAZP;D;20200710;000000;200.9400000
GAZP;D;20200713;000000;195.7000000
GAZP;D;20200714;000000;193.6000000
GAZP;D;20200715;000000;182.2600000
GAZP;D;20200716;000000;183.3200000
GAZP;D;20200717;000000;184.6500000
GAZP;D;20200720;000000;188.3600000
GAZP;D;20200721;000000;186.7800000
GAZP;D;20200722;000000;187.1500000
GAZP;D;20200723;000000;184.6900000
GAZP;D;20200724;000000;185.4500000
GAZP;D;20200727;000000;185.0300000
GAZP;D;20200728;000000;184.3000000
GAZP;D;20200729;000000;184.6900000
GAZP;D;20200730;000000;182.5200000
GAZP;D;20200731;000000;182.5900000
GAZP;D;20200803;000000;183.6000000
GAZP;D;20200804;000000;183.3100000
GAZP;D;20200805;000000;189.1500000
GAZP;D;20200806;000000;189.0700000
GAZP;D;20200807;000000;187.2300000
GAZP;D;20200810;000000;187.7000000
GAZP;D;20200811;000000;189.7000000
GAZP;D;20200812;000000;192.8000000
GAZP;D;20200813;000000;193.7600000
GAZP;D;20200814;000000;192.8300000
GAZP;D;20200817;000000;190.4700000
GAZP;D;20200818;000000;190.3000000
GAZP;D;20200819;000000;189.2600000
GAZP;D;20200820;000000;186.9500000
GAZP;D;20200821;000000;184.5100000
GAZP;D;20200824;000000;187.1000000
GAZP;D;20200825;000000;186.2500000
GAZP;D;20200826;000000;187.4800000
GAZP;D;20200827;000000;184.5800000
GAZP;D;20200828;000000;182.9000000
GAZP;D;20200831;000000;181.0100000
GAZP;D;20200901;000000;184.2200000
GAZP;D;20200902;000000;181.9500000
GAZP;D;20200903;000000;179.1300000
GAZP;D;20200904;000000;179.5500000
GAZP;D;20200907;000000;177.0400000
GAZP;D;20200908;000000;172.9500000
GAZP;D;20200909;000000;173.6900000
GAZP;D;20200910;000000;173.8000000
GAZP;D;20200911;000000;178.0500000
GAZP;D;20200914;000000;178.1900000
GAZP;D;20200915;000000;182.2200000
GAZP;D;20200916;000000;183.2600000
GAZP;D;20200917;000000;183.9000000
GAZP;D;20200918;000000;181.5200000
